TEST10,#genre#
北京冬奥纪实 高清,http://39.135.138.5:6610/PLTV/88888888/224/3221225676/2/index.m3u8
北京-黄花城水长城01,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城02,https://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城04,https://gcalic.v.myalicdn.com/gc/wgw04_1/index.m3u8?contentid=2820180516001
北京纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
北京-南宫温泉休闲度假区,http://gcalic.v.myalicdn.com/gc/tyhjntyz_1/index.m3u8?contentid=2820180516001
北京卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225674/2/index.m3u8?fmt=ts2hls
北京-中央电视塔东,http://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8?contentid=2820180516001
成都都市,http://149.129.100.78/cdtv.php?id=3
成都高清,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
成都公共,http://149.129.100.78/cdtv.php?id=5
成都经济,http://149.129.100.78/cdtv.php?id=2
成都少儿,http://149.129.100.78/cdtv.php?id=6
成都新闻综合,http://149.129.100.78/cdtv.php?id=1
成都影视,http://149.129.100.78/cdtv.php?id=45
纯享4K,http://39.135.138.8:6610/PLTV/88888888/224/3221225786/2/index.m3u8?fmt=ts2hls
点掌财经,http://cclive.aniu.tv/live/anzb.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
迭部电视台,http://117.156.28.119/270000001111/1110000154/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225659/2/index.m3u8?fmt=ts2hls
东南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东南卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225585/2/index.m3u8?fmt=ts2hls
东南卫视高清,http://117.169.120.140:8080/live/dongnanstv/.m3u8
東森財經新聞 HD,http://seb.sason.top/sc/dscjxw_fhd.m3u8
東森美洲 HD,http://seb.sason.top/sc/dsmz_fhd.m3u8
東森新聞 HD,http://seb.sason.top/sc/dsxw_fhd.m3u8
都江堰神树坪②,http://gcalic.v.myalicdn.com/gc/xiongmao26_1/index.m3u8
都江堰神树坪③,http://gcalic.v.myalicdn.com/gc/xiongmao22_1/index.m3u8
都江堰神树萍①,http://gcalic.v.myalicdn.com/gc/xiongmao25_1/index.m3u8
敦煌电视台 (1080p),http://117.156.28.119/270000001111/1110000028/index.m3u8
凤凰中文,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
福建-宁德太姥山景区,https://gcalic.v.myalicdn.com/gc/tms01_1/index.m3u8?contentid=2820180516001
福建-厦门鼓浪屿,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8?contentid=2820180516001
福建-漳州六鳌翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw01_1/index.m3u8?contentid=2820180516001
福建-醉美沙滩翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8?contentid=2820180516001
抚州公共频道,http://111.75.179.195:30767/video/live_vide2.m3u8
甘肃卫视,http://117.169.120.140:8080/live/gansustv/.m3u8
高尔夫,http://149.129.100.78/guangdong.php?id=68
高台电视台,http://117.156.28.119/270000001111/1110000146/index.m3u8
广东-丹霞山丹梯铁锁,https://gcalic.v.myalicdn.com/gc/dxsdtts_1/index.m3u8?contentid=2820180516001
广东-东莞中心广场,https://gcalic.v.myalicdn.com/gc/zsslstpt_1/index.m3u8?contentid=2820180516001
广东房产,http://149.129.100.78/guangdong.php?id=67
广东国际,http://149.129.100.78/guangdong.php?id=46
广东经济科教,http://149.129.100.78/guangdong.php?id=49
广东少儿,http://149.129.100.78/guangdong.php?id=54
广东-深圳世界之窗,https://gcalic.v.myalicdn.com/gc/sjzc01_1/index.m3u8?contentid=2820180516001
广东体育,http://149.129.100.78/guangdong.php?id=47
广东卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225701/2/index.m3u8?fmt=ts2hls
广东文化,http://149.129.100.78/guangdong.php?id=75
广东新闻,http://149.129.100.78/guangdong.php?id=45
广东移动,http://149.129.100.78/guangdong.php?id=74
广东影视,http://149.129.100.78/guangdong.php?id=53
广东珠江,http://149.129.100.78/guangdong.php?id=44
广东综艺,http://149.129.100.78/guangdong.php?id=16
广西卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221226211/2/index.m3u8?fmt=ts2hls
广州法治,http://149.129.100.78/gztv.php?id=fazhi
广州法治,https://iptv--iptv.repl.co/Chinese/fazhi/
广州竞赛,http://149.129.100.78/gztv.php?id=jingsai
广州竞赛,https://iptv--iptv.repl.co/Chinese/jingsai/
广州南国都市,http://149.129.100.78/gztv.php?id=shenghuo
广州南国都市,https://iptv--iptv.repl.co/Chinese/shenghuo/
广州新闻,http://149.129.100.78/gztv.php?id=xinwen
广州新闻,https://iptv--iptv.repl.co/Chinese/xinwen/
广州影视,http://149.129.100.78/gztv.php?id=yingshi
广州影视,https://iptv--iptv.repl.co/Chinese/yingshi/
广州综合,http://149.129.100.78/gztv.php?id=zhonghe
广州综合,https://iptv--iptv.repl.co/Chinese/zhonghe/
贵州大众生活,http://149.129.100.78/guizhou.php?id=dzsh
贵州公共,http://149.129.100.78/guizhou.php?id=gzgg
贵州家有购物,http://149.129.100.78/guizhou.php?id=8
贵州经济,http://149.129.100.78/guizhou.php?id=gzjj
贵州科教健康,http://149.129.100.78/guizhou.php?id=kjjk
贵州体育旅游,http://149.129.100.78/guizhou.php?id=dwpd
贵州卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225483/2/index.m3u8?fmt=ts2hls
贵州影视文艺,http://149.129.100.78/guizhou.php?id=gzwy
海南公共,http://149.129.100.78/hainan.php?id=6
海南经济,http://149.129.100.78/hainan.php?id=4
海南少儿,http://149.129.100.78/hainan.php?id=9
海南卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221226212/2/index.m3u8?fmt=ts2hls
海南文旅,http://149.129.100.78/hainan.php?id=8
海南新闻,http://149.129.100.78/hainan.php?id=5
韩国-Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
河北卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225610/2/index.m3u8?fmt=ts2hls
河南-八里沟桃花湾瀑布,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8?contentid=2820180516001
河南-八里沟天界山玻璃栈道,https://gcalic.v.myalicdn.com/gc/blg03_1/index.m3u8?contentid=2820180516001
河南-少林寺广场,https://gcalic.v.myalicdn.com/gc/zsslsgc_1/index.m3u8?contentid=2820180516001
河南卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225611/2/index.m3u8?fmt=ts2hls
河南-云台山百家岩,https://gcalic.v.myalicdn.com/gc/ytsbjy_1/index.m3u8?contentid=2820180516001
河南-云台山红石峡,https://gcalic.v.myalicdn.com/gc/ytshsx_1/index.m3u8?contentid=2820180516001
河南-云台山小寨沟,https://gcalic.v.myalicdn.com/gc/ytsxzg_1/index.m3u8?contentid=2820180516001
河南-云台山茱萸峰,https://gcalic.v.myalicdn.com/gc/ytszyf_1/index.m3u8?contentid=2820180516001
河南-郑东新区千玺广场,https://gcalic.v.myalicdn.com/gc/zdxq01_1/index.m3u8?contentid=2820180516001
黑龙江卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225690/2/index.m3u8?fmt=ts2hls
黑龙江-雪乡梦幻家园,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8?contentid=2820180516001
黑莓电竞,http://39.135.138.5:6610/PLTV/88888888/224/3221225653/2/index.m3u8
黑莓电影,http://39.135.138.5:6610/PLTV/88888888/224/3221225718/2/index.m3u8
黑莓动画,http://39.135.138.5:6610/PLTV/88888888/224/3221225672/2/index.m3u8
湖北-金丝猴01,https://gcalic.v.myalicdn.com/gc/jshhd01_1/index.m3u8?contentid=2820180516001
湖北-龙王庙,https://gcalic.v.myalicdn.com/gc/hnttbdjd_1/index.m3u8?contentid=2820180516001
湖北卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225699/2/index.m3u8?fmt=ts2hls
湖北卫视高清,http://117.169.120.140:8080/live/hdhubeistv/.m3u8
湖北-武汉黄鹤楼,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8?contentid=2820180516001
湖北-武汉长江大桥,https://gcalic.v.myalicdn.com/gc/qdls04_1/index.m3u8?contentid=2820180516001
湖南-阿凡达悬浮山,https://gcalic.v.myalicdn.com/gc/zjjafdxfs_1/index.m3u8?contentid=2820180516001
湖南-宝峰湖,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8?contentid=2820180516001
湖南电视剧,http://149.129.100.78/hunan.php?id=484
湖南都市,http://149.129.100.78/hunan.php?id=346
湖南公共,http://149.129.100.78/hunan.php?id=261
湖南国际,http://149.129.100.78/hunan.php?id=229
湖南经视,http://149.129.100.78/hunan.php?id=280
湖南-天门山天空步道,https://gcalic.v.myalicdn.com/gc/tms02_1/index.m3u8?contentid=2820180516001
湖南-天门山天门洞,https://gcalic.v.myalicdn.com/gc/tmstmd01_1/index.m3u8?contentid=2820180516001
湖南-天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8?contentid=2820180516001
湖南-天门山云梦仙顶,https://gcalic.v.myalicdn.com/gc/tms04_1/index.m3u8?contentid=2820180516001
湖南卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225704/2/index.m3u8?fmt=ts2hls
湖南娱乐,http://149.129.100.78/hunan.php?id=344
湖南-张家界将军列队,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8?contentid=2820180516001
湖南-张家界迷魂台,https://gcalic.v.myalicdn.com/gc/zjjmht_1/index.m3u8?contentid=2820180516001
湖南-张家界水绕四门,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8?contentid=2820180516001
华亭电视台,http://117.156.28.119/270000001111/1110000148/index.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
寰宇新聞台,http://seb.sason.top/sc/hyxw.m3u8
黄河电视台,http://149.129.100.78/tv.php?id=sxhh
积石山电视台,http://117.156.28.119/270000001111/1110000152/index.m3u8
基地别墅①,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
基地别墅②,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8
基地成年园①,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
基地成年园②,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
基地母子园①,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
基地母子园②,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
基地幼儿园①,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园②,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
基地幼年园①,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园②,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
吉林卫视高清,http://117.169.120.140:8080/live/jilinstv/.m3u8
嘉佳卡通,http://149.129.100.78/guangdong.php?id=66
江苏城市,http://149.129.100.78/jiangsu.php?id=jscs
江苏公共新闻,http://149.129.100.78/jiangsu.php?id=jsgg
江苏国际,http://149.129.100.78/jiangsu.php?id=jsgj
江苏教育,http://149.129.100.78/jiangsu.php?id=jsjy
江苏靓妆,http://149.129.100.78/jiangsu.php?id=jslz
江苏-南京牛首山,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8?contentid=2820180516001
江苏-南京玄武湖公园,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8?contentid=2820180516001
江苏体育休闲,http://149.129.100.78/jiangsu.php?id=jsty
江苏卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225488/2/index.m3u8?fmt=ts2hls
江苏卫视高清,http://117.169.120.140:8080/live/hdjiangsustv/.m3u8
江苏-无锡鼋头渚赏樱阁,https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8?contentid=2820180516001
江苏-徐州云龙湖观景台南,https://gcalic.v.myalicdn.com/gc/ylh03_1/index.m3u8?contentid=2820180516001
江苏-徐州云龙湖观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8?contentid=2820180516001
江苏学习,http://149.129.100.78/jiangsu.php?id=jsxx
江苏影视,http://149.129.100.78/jiangsu.php?id=jsys
江苏综艺,http://149.129.100.78/jiangsu.php?id=jszy
江西-龙虎山-中间水泡,https://gcalic.v.myalicdn.com/gc/lhszjsp_1/index.m3u8?contentid=2820180516001
江西卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225492/2/index.m3u8?fmt=ts2hls
江西卫视高清,http://117.169.120.140:8080/live/jiangxistv/.m3u8
江西-婺源江岭1号观景台,https://gcalic.v.myalicdn.com/gc/wygjt1_1/index.m3u8?contentid=2820180516001
江西-婺源江岭2号观景台,https://gcalic.v.myalicdn.com/gc/wygjt2_1/index.m3u8?contentid=2820180516001
金鹰纪实 高清,http://39.135.138.5:6610/PLTV/88888888/224/3221225595/2/index.m3u8
睛彩安徽,http://149.129.100.78/anhui.php?id=85
静宁综合,http://117.156.28.119/270000001111/1110000147/index.m3u8
九寨沟旅游资讯,http://111.231.194.231:85/live/lyzx.m3u8
九寨沟旅游资讯,http://111.231.194.231:85/live/lyzx_500k.m3u8
九寨沟新闻综合,http://111.231.194.231:85/live/xwzh.m3u8
九寨沟新闻综合,http://111.231.194.231:85/live/xwzh_500k.m3u8
酒泉新闻综合 (576p),http://117.156.28.119/270000001111/1110000001/index.m3u8
莲花卫视,http://149.129.100.78/lotus.php?id=1
辽宁-沈阳金廊,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8?contentid=2820180516001
辽宁卫视 高清,http://39.135.138.8:6610/PLTV/88888888/224/3221225696/2/index.m3u8?fmt=ts2hls
